Project|commit|codeLink|CWE ID|CVE ID|future_commit_id
ImageMagick|16916c8979c32765c542e216b31cee2671b7afe7|https://github.com/ImageMagick/ImageMagick/commit/16916c8979c32765c542e216b31cee2671b7afe7|CWE-20|CVE-2018-16644|5b7b55faeba3767bd0362c46226973561bd8a7df
ImageMagick|1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f|https://github.com/ImageMagick/ImageMagick/commit/1aa0c6dab6dcef4d9bc3571866ae1c1ddbec7d8f|CWE-125|CVE-2015-8958|2174484dfa68a594e2f9ad17f46217b6120db18d
ImageMagick|2130bf6f89ded32ef0c88a11694f107c52566c53|https://github.com/ImageMagick/ImageMagick/commit/2130bf6f89ded32ef0c88a11694f107c52566c53|CWE-119|CVE-2017-16546|fc25040471ee40b11c5bdecb3b2efd5457c54022
ImageMagick|280215b9936d145dd5ee91403738ccce1333cab1|https://github.com/ImageMagick/ImageMagick/commit/280215b9936d145dd5ee91403738ccce1333cab1|CWE-125|CVE-2016-7514|c6e0187105ab20b12bbc661f01b54e4894e92a5b
ImageMagick|2ad6d33493750a28a5a655d319a8e0b16c392de1|https://github.com/ImageMagick/ImageMagick/commit/2ad6d33493750a28a5a655d319a8e0b16c392de1|CWE-125|CVE-2016-7515|2174484dfa68a594e2f9ad17f46217b6120db18d
ImageMagick|4f2c04ea6673863b87ac7f186cbb0d911f74085c|https://github.com/ImageMagick/ImageMagick/commit/4f2c04ea6673863b87ac7f186cbb0d911f74085c|CWE-125|CVE-2016-7532|4812e816a9c3da93003aaea1d0b1db9ccf8ce40d
ImageMagick|58d9c46929ca0828edde34d263700c3a5fe8dc3c|https://github.com/ImageMagick/ImageMagick/commit/58d9c46929ca0828edde34d263700c3a5fe8dc3c|CWE-125|CVE-2019-10714|2f287f41eda67c8efd9c68b859d07eac98473b86
ImageMagick|6b4aff0f117b978502ee5bcd6e753c17aec5a961|https://github.com/ImageMagick/ImageMagick/commit/6b4aff0f117b978502ee5bcd6e753c17aec5a961|CWE-125|CVE-2015-8958|6851a31bb1ced5dfe26249875ba0e208d2eafc1e
ImageMagick|6e48aa92ff4e6e95424300ecd52a9ea453c19c60|https://github.com/ImageMagick/ImageMagick/commit/6e48aa92ff4e6e95424300ecd52a9ea453c19c60|CWE-119|CVE-2016-8677|052f6c22d3a2b2aae9dfa24aff9ccdf8b72ace91
ImageMagick|6f1879d498bcc5cce12fe0c5decb8dbc0f608e5d|https://github.com/ImageMagick/ImageMagick/commit/6f1879d498bcc5cce12fe0c5decb8dbc0f608e5d|CWE-125|CVE-2016-7514|533ea3b9047c67f9af49703de672f6c2e443f747
